Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Akiba's Trip: Undead & Undressed,PS4,2014,Action,Acquire,0.08,0,0.01,0.02,0.12
Samurai Warriors 4-II,PS4,2015,Action,Tecmo Koei,0.03,0.02,0.06,0.01,0.12
Rugby 15,PS4,2015,Sports,Bigben Interactive,0.04,0.06,0,0.02,0.11
Digimon Story: Cyber Sleuth,PS4,2016,Role-Playing,Namco Bandai Games,0,0.1,0,0.02,0.11
Wasteland 2,PS4,2015,Role-Playing,Deep Silver,0.08,0,0.02,0.02,0.11
Ghostbusters (2016),PS4,2016,Action,Activision,0.04,0,0,0.01,0.05
God Eater 2: Rage Burst,PS4,2015,Role-Playing,Namco Bandai Games,0,0.01,0.09,0,0.11
WWE 2K17,X360,2016,Sports,Take-Two Interactive,0.05,0.04,0,0.01,0.71
Pac-Man and the Ghostly Adventures 2,X360,2014,Adventure,Namco Bandai Games,0.05,0.04,0,0.01,0.11
God Eater Off Shot: Soma Shikkuzaru-hen Twin Pack & Animation Vol.4,PS4,2016,Action,Namco Bandai Games,0,0,0.02,0,0.02
Earth Defense Force 2025.1: The Shadow of New Despair,PS4,2015,Action,D3Publisher,0,0,0.1,0,0.1
Murdered: Soul Suspect,X360,2014,Action,Square Enix,0.06,0.03,0,0.01,0.1
Ultra Street Fighter IV,PS4,2015,Fighting,Capcom,0,0.08,0,0.01,0.1
EVE: Valkyrie,PS4,2016,Shooter,CCP,0.03,0.05,0,0.02,0.1
The Walking Dead: Season Two,X360,2014,Adventure,Telltale Games,0.04,0.05,0,0.01,0.1
The Crew: Wild Run,PS4,2015,Action,Ubisoft,0,0.08,0,0.01,0.1
Natural Doctrine,PS4,2014,Role-Playing,Nippon Ichi Software,0.05,0.02,0.02,0.01,0.1
Pro Evolution Soccer 2016,X360,2015,Sports,Konami Digital Entertainment,0.04,0.05,0,0.01,0.1
The Idolmaster: Platinum Stars,PS4,2016,Simulation,Namco Bandai Games,0,0,0.1,0,0.1
God Eater Off Shot: Tachibana Sakuya-hen Twin Pack & Animation Vol.7,PS4,2016,Action,Namco Bandai Games,0,0,0.01,0,0.01
Samurai Warriors 4: Empires,PS4,2015,Action,Tecmo Koei,0.02,0.01,0.06,0.01,0.1
Super Robot Wars OG: The Moon Dwellers,PS4,2016,Misc,Namco Bandai Games,0,0,0.09,0,0.09
Devil May Cry 4,PS4,2015,Action,Capcom,0.01,0,0.08,0,0.09
Adventure Time: Finn & Jake Investigations,PS4,2015,Action,Little Orbit,0.03,0.05,0,0.02,0.09
Gundam Breaker 3,PS4,2016,Action,Namco Bandai Games,0,0,0.1,0,0.1
MXGP 2,PS4,2016,Racing,Milestone S.r.l.,0.02,0.05,0,0.01,0.09
Castlevania: Lords of Shadow 2,X360,2014,Action,Konami Digital Entertainment,0.02,0.06,0,0.01,0.09
DriveClub VR,PS4,2016,Racing,Sony Computer Entertainment,0.03,0.05,0,0.01,0.09
Skylanders Imaginators,X360,2016,Platform,Activision,0.04,0.05,0,0.01,0.09
SpongeBob: HeroPants,X360,2015,Platform,Activision,0.08,0,0,0.01,0.09
Arslan: The Warriors of Legend,PS4,2015,Action,Tecmo Koei,0.03,0.01,0.04,0.01,0.09
GRID Autosport,X360,2014,Racing,Codemasters,0.03,0.05,0,0.01,0.09
Batman: A Telltale Game Series,PS4,2016,Adventure,Telltale Games,0.03,0.05,0,0.01,0.09
The Witch and the Hundred Knight,PS4,2015,Role-Playing,Nippon Ichi Software,0.02,0.01,0.05,0.01,0.09
Hitman (2016),PS4,2016,Action,Square Enix,0,0.04,0,0.01,0.05
Lara Croft and the Temple of Osiris,PS4,2014,Action,Square Enix,0,0.07,0,0.01,0.09
Kamen Rider: Battride War Genesis,PS4,2016,Action,Namco Bandai Games,0,0,0.06,0,0.06
SD Gundam G Generation Genesis,PS4,2016,Strategy,Namco Bandai Games,0,0,0.08,0,0.08
BlazBlue Central Fiction,PS4,2016,Fighting,PQube,0.04,0,0.03,0.01,0.08
The Voice,X360,2014,Action,Activision,0.07,0,0,0.01,0.08
The Golf Club,PS4,2014,Sports,Unknown,0.05,0.02,0,0.01,0.08
God Eater Resurrection,PS4,2015,Action,Namco Bandai Games,0,0,0.08,0,0.08
MotoGP 14 ,X360,2014,Racing,Milestone S.r.l.,0.04,0.03,0,0.01,0.08
Shovel Knight,PS4,2015,Platform,Yacht Club Games,0.03,0.03,0,0.01,0.08
Guilty Gear Xrd -Revelator-,PS4,2016,Fighting,PQube,0.03,0,0.05,0.01,0.08
Mega Man Legacy Collection,PS4,2016,Platform,Capcom,0.07,0,0,0.02,0.08
Transformers: Devastation,X360,2015,Action,Activision,0.06,0.01,0,0.01,0.08
Persona 4: Arena Ultimax,X360,2014,Fighting,Atlus,0.06,0.01,0,0.01,0.08
Resident Evil 6,PS4,2016,Shooter,Capcom,0.06,0,0,0.01,0.08
LEGO Harry Potter Collection,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.01,0.11,0,0.02,0.15
Dragon's Dogma Online,PS4,2015,Role-Playing,Capcom,0,0,0.08,0,0.08
Adventure Time: Finn & Jake Investigations,X360,2015,Action,Little Orbit,0.03,0.05,0,0.01,0.08
Valentino Rossi: The Game,PS4,2016,Racing,Namco Bandai Games,0.01,0.05,0,0.01,0.08
Yoru no Nai Kuni,PS4,2015,Role-Playing,Tecmo Koei,0,0,0.08,0,0.08
Romance of the Three Kingdoms 13,PS4,2015,Action,Tecmo Koei,0.02,0,0.05,0.01,0.08
Grand Ages: Medieval,PS4,2015,Strategy,Kalypso Media,0,0.05,0.02,0.01,0.07
Toy Soldiers: War Chest,PS4,2015,Action,Ubisoft,0.06,0,0,0.01,0.07
Fairy Fencer F: Advent Dark Force,PS4,2015,Role-Playing,Idea Factory International,0.02,0,0.05,0,0.07
Grand Kingdom,PS4,2015,Role-Playing,Nippon Ichi Software,0.03,0,0.03,0.01,0.07
Escape Dead Island,X360,2014,Action,Deep Silver,0.03,0.04,0,0.01,0.07
Resident Evil: Revelations 2,X360,2015,Action,Capcom,0.04,0.02,0,0.01,0.07
Tony Hawk's Pro Skater 5,X360,2015,Sports,Activision,0.06,0,0,0.01,0.07
Fantasia: Music Evolved,X360,2014,Misc,Disney Interactive Studios,0.06,0.01,0,0.01,0.07
Eagle Flight,PS4,2016,Adventure,Ubisoft,0.01,0.05,0,0.01,0.07
Legend of Kay,PS4,2015,Action,Nordic Games,0.02,0.03,0,0.01,0.07
The Book of Unwritten Tales 2,PS4,2015,Adventure,Nordic Games,0,0.06,0,0.01,0.07
Dragon Ball Z: Battle of Z,X360,2014,Fighting,Namco Bandai Games,0.01,0.05,0,0,0.07
Terraria,PS4,2014,Action,505 Games,0,0.05,0.01,0.01,0.07
Just Dance: Disney Party 2,X360,2015,Action,Ubisoft,0.05,0.01,0,0.01,0.07
Broken Sword 5: The Serpent's Curse,PS4,2015,Adventure,Revolution Software,0,0.06,0,0.01,0.07
Risen 3: Titan Lords,X360,2014,Role-Playing,Deep Silver,0.02,0.04,0,0,0.06
Assetto Corsa,PS4,2016,Racing,505 Games,0,0.05,0,0.01,0.06
NHL Legacy,X360,2015,Action,Electronic Arts,0.06,0,0,0.01,0.06
Nights of Azure,PS4,2015,Action,Tecmo Koei,0.03,0.02,0,0.01,0.06
MX vs. ATV Supercross,X360,2014,Racing,Nordic Games,0.03,0.02,0,0.01,0.06
Risen 3: Titan Lords,PS4,2015,Role-Playing,Deep Silver,0,0.05,0,0.01,0.06
Earth Defense Force 4.1: The Shadow of New Despair,PS4,2015,Shooter,Xseed Games,0.03,0.02,0,0.01,0.06
The Technomancer,PS4,2016,Role-Playing,Focus Home Interactive,0.02,0.04,0,0.01,0.06
Project Setsuna,PS4,2016,Role-Playing,Square Enix,0,0,0.06,0,0.06
Digimon All-Star Rumble,X360,2014,Fighting,Namco Bandai Games,0.05,0.01,0,0.01,0.06
Adventure Time: The Secret of the Nameless Kingdom,X360,2014,Action,Little Orbit,0,0.05,0,0,0.06
Utawarerumono: Itsuwari no Kamen,PS4,2015,Adventure,Aqua Plus,0,0,0.06,0,0.06
LEGO Marvel's Avengers,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.26,0.35,0,0.12,0.73
MX vs. ATV Supercross Encore,PS4,2015,Sports,Nordic Games,0,0.05,0,0.01,0.06
Tropico 5,X360,2014,Simulation,Kalypso Media,0.03,0.02,0,0,0.06
Rugby World Cup 2015,PS4,2015,Sports,Ubisoft,0,0.05,0,0.01,0.06
LEGO Marvel's Avengers,X360,2016,Action,Warner Bros. Interactive Entertainment,0.18,0.11,0,0.03,0.32
Handball 16,PS4,2015,Sports,Bigben Interactive,0,0.05,0,0.01,0.06
Nobunaga no Yabou: Souzou,PS4,2014,Strategy,Tecmo Koei,0,0,0.06,0,0.06
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,PS4,2016,Misc,Tecmo Koei,0.01,0,0.05,0,0.06
Lego Star Wars: The Force Awakens,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.16,0.43,0.01,0.11,0.7
Mighty No. 9,PS4,2016,Platform,Deep Silver,0.04,0,0,0.01,0.05
Arcania: Gothic 4,PS4,2015,Role-Playing,Nordic Games,0.04,0,0,0.01,0.05
WRC 5: FIA World Rally Championship,PS4,2015,Sports,Bigben Interactive,0,0.05,0,0.01,0.05
Sherlock Holmes: Crimes & Punishments,X360,2014,Adventure,Focus Home Interactive,0.03,0.02,0,0,0.05
Killing Floor 2 ,PS4,2016,Shooter,Tripwire Interactive,0.03,0.01,0,0.01,0.05
Sacred 3,X360,2014,Role-Playing,Deep Silver,0.03,0.02,0,0,0.05
Game of Thrones (Telltale),PS4,2015,Adventure,Telltale Games,0.04,0,0,0.01,0.05
Utawarerumono: Futari no Hakuoro,PS4,2016,Misc,Aqua Plus,0,0,0.05,0,0.05
Steins;Gate 0,PS4,2015,Adventure,PQube,0,0,0.05,0,0.05
Sengoku Basara 4: Sumeragi,PS4,2015,Action,Capcom,0,0,0.05,0,0.05
Sword Art Online: Game Director's Edition,PS4,2015,Role-Playing,Namco Bandai Games,0,0,0.05,0,0.05
Hatsune Miku: Project Diva X,PS4,2016,Misc,Sega,0.02,0,0.02,0,0.05
Resident Evil 4 HD,PS4,2016,Shooter,Capcom,0.04,0,0,0.01,0.05
Saints Row: Gat out of Hell,PS4,2015,Action,Deep Silver,0,0.04,0,0.01,0.05
NASCAR Heat Evolution,PS4,2016,Racing,Dusenberry Martin Racing,0.04,0,0,0.01,0.05
Child of Light,PS4,2014,Role-Playing,Ubisoft,0,0.01,0.04,0,0.05
Yaiba: Ninja Gaiden Z,X360,2014,Action,Tecmo Koei,0.03,0.01,0,0,0.05
Ride 2,PS4,2016,Racing,Milestone S.r.l,0,0.04,0,0.01,0.05
Lego Star Wars: The Force Awakens,X360,2016,Action,Warner Bros. Interactive Entertainment,0.05,0.06,0,0.01,0.12
Sébastien Loeb Rally Evo,PS4,2016,Racing,Milestone S.r.l,0,0.04,0,0.01,0.04
Mafia III,PS4,2016,Action,Take-Two Interactive,0.42,1.08,0.03,0.28,1.81
Enemy Front,X360,2014,Shooter,Namco Bandai Games,0.02,0.02,0,0,0.04
Nobunaga's Ambition: Sphere of Influence,PS4,2014,Strategy,Tecmo Koei,0.03,0,0,0.01,0.04
Metal Gear Solid V: The Definitive Experience,PS4,2016,Action,Konami Digital Entertainment,0.01,0.02,0.01,0,0.04
Nitroplus Blasterz: Heroines Infinite Duel,PS4,2015,Fighting,Marvelous Interactive,0.01,0,0.02,0,0.04
Call of Duty: Modern Warfare Trilogy,X360,2016,Shooter,Activision,0.02,0.02,0,0,0.04
Psycho-Pass: Mandatory Happiness,PS4,2016,Adventure,Nippon Ichi Software,0.03,0,0,0.01,0.04
MLB 16: The Show,PS4,2016,Action,Sony Computer Entertainment,0.72,0,0,0.17,0.89
Hyperdimension Neptunia Victory II,PS4,2015,Role-Playing,Idea Factory International,0,0,0.04,0,0.04
No Man's Sky,PS4,2016,Action,Hello Games,0.63,0.76,0.03,0.27,1.7
Paragon,PS4,2016,Action,Epic Games,0.02,0,0,0,0.02
Exist Archive: The Other Side of the Sky,PS4,2015,Role-Playing,Aksys Games,0.01,0,0.03,0,0.04
Assassin's Creed Chronicles: China,PS4,2015,Action,Ubisoft,0,0.03,0,0.01,0.04
Phantasy Star Online 2 Episode 4: Deluxe Package,PS4,2017,Role-Playing,Sega,0,0,0.04,0,0.04
Just Dance 2017,X360,2016,Misc,Ubisoft,0.02,0.02,0,0,0.04
Prison Architect,PS4,2016,Action,Introversion Software,0.01,0.01,0,0.01,0.03
Prototype: Biohazard Bundle,PS4,2016,Action,Activision,0.01,0,0,0,0.02
Infamous: First Light,PS4,2014,Action,Sony Computer Entertainment,0,0.03,0,0,0.03
Tour de France 2014,PS4,2014,Sports,Focus Home Interactive,0,0.03,0,0,0.03
Duke Nukem 3D: 20th Anniversary World Tour,PS4,2016,Shooter,Gearbox Software,0.03,0,0,0.01,0.03
Atelier Firis: The Alchemist of the Mysterious Journey,PS4,2016,Role-Playing,Tecmo Koei,0,0,0.03,0,0.03
JoJo's Bizarre Adventure: Eyes of Heaven,PS4,2015,Fighting,Namco Bandai Games,0,0,0.03,0,0.03
Just Dance 2017,PS4,2016,Misc,Ubisoft,0.02,0,0,0.01,0.03
Let's Sing 2016,PS4,2015,Action,FuRyu Corporation,0.03,0,0,0.01,0.03
Batman: A Telltale Game Series,X360,2016,Adventure,Telltale Games,0.01,0.02,0,0,0.03
Republique,PS4,2016,Action,Nippon Ichi Software,0,0.01,0.01,0,0.01
Tokyo Xanadu eX+,PS4,2016,Role-Playing,Nihon Falcom Corporation,0,0,0.03,0,0.03
Resident Evil 5 HD,PS4,2016,Action,Capcom,0.02,0,0,0.01,0.03
Rugby World Cup 2015,X360,2015,Sports,Ubisoft,0,0.03,0,0,0.03
Game of Thrones (Telltale),X360,2015,Adventure,Telltale Games,0.02,0,0,0,0.03
Resident Evil Zero,PS4,2016,Action,Capcom,0.1,0.17,0.05,0.05,0.37
Rugby 15,X360,2015,Sports,Bigben Interactive,0,0.03,0,0,0.03
Resident Evil: Umbrella Corps,PS4,2016,Action,Capcom,0,0,0.02,0,0.02
The Talos Principle,PS4,2015,Puzzle,Devolver Digital,0,0.02,0,0,0.03
Cabela's Big Game Hunter: Pro Hunts,X360,2014,Shooter,Activision,0.02,0,0,0,0.03
Loading Human,PS4,2016,Adventure,FuRyu Corporation,0.01,0.01,0,0,0.03
RIGS: Mechanized Combat League,PS4,2016,Action,Sony Computer Entertainment,0.03,0.05,0.01,0.02,0.11
Robinson: The Journey,PS4,2016,Action,Crytek,0.06,0.03,0,0.02,0.12
God Eater Off Shot: Lindow-hen Twin Pack & Animation Vol. 2,PS4,2015,Misc,Namco Bandai Games,0,0,0.03,0,0.03
The Peanuts Movie: Snoopy's Grand Adventure,PS4,2015,Action,Activision,0,0.02,0,0,0.03
Samurai Warriors: Sanada Maru,PS4,2016,Action,Tecmo Koei,0,0,0.03,0,0.03
Agatha Christie's The ABC Murders,PS4,2016,Adventure,Microids,0.01,0.01,0,0,0.03
Atari Flashback Classics: Volume 1,PS4,2016,Misc,Atari,0.02,0,0,0,0.03
Legend of Kay Anniversary,PS4,2015,Action,Nordic Games,0,0.02,0,0,0.03
Blade Arcus from Shining EX,PS4,2015,Fighting,Sega,0,0,0.02,0,0.02
Monster High: New Ghoul in School,X360,2015,Action,Little Orbit,0,0.02,0,0,0.02
Assault Suit Leynos,PS4,2016,Shooter,Rising Star Games,0.02,0,0,0,0.02
Omega Quintet,PS4,2014,Role-Playing,Compile Heart,0,0,0.02,0,0.02
Atari Flashback Classics: Volume 2,PS4,2016,Misc,Atari,0.02,0,0,0,0.02
Rugby League Live 3,PS4,2015,Action,Tru Blu Entertainment,0,0.02,0,0,0.02
Here They Lie,PS4,2016,Adventure,Sony Computer Entertainment,0,0.02,0,0,0.02
Rugby League Live 3,X360,2015,Action,Tru Blu Entertainment,0,0.02,0,0,0.02
Sengoku Basara: Sanada Yukimura-Den,PS4,2016,Action,Capcom,0,0,0.03,0,0.03
Song of the Deep,PS4,2016,Action,Insomniac Games,0.06,0,0,0.01,0.08
Black Rose Valkyrie,PS4,2016,Role-Playing,Idea Factory,0,0,0.02,0,0.02
Touhou Genso Rondo: Bullet Ballet,PS4,2016,Shooter,Nippon Ichi Software,0.02,0,0,0,0.02
Back to the Future: The Game,X360,2015,Adventure,Telltale Games,0.02,0,0,0,0.02
Summon Night 6: Lost Borders,PS4,2016,Action,Namco Bandai Games,0,0,0.03,0,0.03
Super Dungeon Bros,PS4,2016,Action,Nordic Games,0.01,0,0,0,0.01
Natsuiro High School: Seishun Hakusho,PS4,2015,Action,D3Publisher,0,0,0.02,0,0.02
Kung Fu Panda: Showdown of Legendary Legends,X360,2015,Action,Little Orbit,0,0.02,0,0,0.02
Winning Post 8 2016,PS4,2016,Simulation,Tecmo Koei,0,0,0.02,0,0.02
Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS4,2016,Action,Activision,0.05,0.02,0,0.02,0.09
Rabbids Invasion: The Interactive TV Show,PS4,2014,Misc,Ubisoft,0,0.01,0,0,0.02
Teenage Mutant Ninja Turtles: Mutants in Manhattan,X360,2016,Action,Activision,0.01,0.03,0,0,0.04
Koihime Enbu,PS4,2016,Fighting,Yeti,0,0,0.02,0,0.02
The Heavy Rain and Beyond: Two Souls Collection,PS4,2016,Action,Sony Computer Entertainment,0,0.17,0,0.03,0.2
Rocksmith 2014 Edition Remastered,PS4,2016,Misc,Ubisoft,0.01,0,0,0,0.02
Professional Farmer 2016,PS4,2015,Action,Namco Bandai Games,0,0.01,0,0,0.02
This War of Mine,PS4,2016,Action,Deep Silver,0,0.01,0,0,0.02
Toukiden 2,PS4,2016,Action,Tecmo Koei,0,0,0.08,0,0.08
God Eater Off Shot:Shiou-hen Twin Pack & Animation Vol.5,PS4,2016,Misc,Namco Bandai Games,0,0,0.02,0,0.02
King's Quest: The Complete Collection,PS4,2016,Adventure,Activision,0.01,0,0,0,0.02
TrackMania Turbo,PS4,2016,Action,Ubisoft,0.03,0.26,0,0.05,0.35
Super Stardust Ultra VR,PS4,2016,Shooter,Sony Computer Entertainment,0,0.01,0,0,0.01
Raven's Cry,PS4,2015,Role-Playing,TopWare Interactive,0,0.01,0,0,0.01
Adventure Time: The Secret of the Nameless ,X360,2014,Adventure,Little Orbit,0.01,0,0,0,0.01
Warhammer: The End Times - Vermintide,PS4,2016,Action,Games Workshop,0.01,0.02,0,0.01,0.04
Chaos;Child,PS4,2015,Adventure,5pb,0,0,0.01,0,0.01
Watch Dogs 2,PS4,2016,Action,Ubisoft,0.37,0.58,0,0.18,1.13
Ride,X360,2015,Racing,Milestone S.r.l.,0,0.01,0,0,0.01
Worms: WMD,PS4,2016,Action,Sold Out,0.01,0.02,0,0,0.03
Sherlock Holmes: The Devil's Daughter,PS4,2016,Adventure,Bigben Interactive,0.01,0,0,0,0.01
Root Letter,PS4,2016,Adventure,PQube,0,0,0.01,0,0.01
Shin Hayarigami 2,PS4,2016,Adventure,Nippon Ichi Software,0,0,0.01,0,0.01
Dungeons 2,PS4,2016,Role-Playing,Kalypso Media,0.01,0,0,0,0.01
ZombiU,PS4,2016,Action,Ubisoft,0,0.04,0.01,0.01,0.06
Farming 2017 - The Simulation,PS4,2016,Simulation,UIG Entertainment,0,0.01,0,0,0.01
